corp_code,기업명,사업연도,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
00364795,(주)레드로버,2017,성공,확정,원본,1540799327.0,1540799327.0,False,0.0,743532065.0
00364795,(주)레드로버,2018,성공,확정,원본,530560026.0,530560026.0,False,561012451.0,557911850.0
00364795,(주)레드로버,2019,성공,확정,정정,330565461.0,330565461.0,False,0.0,199994565.0
00364795,(주)레드로버,2020,성공,확정,원본,6885266232.0,6885266232.0,False,128999994.0,327250146.0
00364795,(주)레드로버,2021,성공,확정,원본,632661628.0,632661628.0,False,0.0,241322869.0
00364795,(주)레드로버,2022,실패,,,,,,,
00364795,(주)레드로버,2023,실패,,,,,,,
00364795,(주)레드로버,2024,실패,,,,,,,
00364795,(주)레드로버,2025,실패,,,,,,,
01204056,(주)하이브,2020,성공,확정,원본,288374913000.0,288374913000.0,False,0.0,13521264000.0
01204056,(주)하이브,2021,성공,확정,원본,1330038427000.0,1330038427000.0,False,0.0,47156825000.0
01204056,(주)하이브,2022,성공,확정,정정,1470169884000.0,1470169884000.0,False,83383590000.0,68746044000.0
01204056,(주)하이브,2023,성공,확정,원본,2165250407000.0,2165250407000.0,False,95562539000.0,74222154000.0
01204056,(주)하이브,2024,성공,확정,원본,2244256804000.0,2244256804000.0,False,89746480000.0,84506106000.0
01204056,(주)하이브,2025,성공,확정,원본,1986685747000.0,1986685747000.0,False,163683556000.0,87516114000.0
00299464,(주)초록뱀미디어,2015,실패,,,,,,,
00299464,(주)초록뱀미디어,2016,실패,,,,,,,
00299464,(주)초록뱀미디어,2017,실패,,,,,,,
00299464,(주)초록뱀미디어,2018,실패,,,,,,,
00299464,(주)초록뱀미디어,2019,실패,,,,,,,
00299464,(주)초록뱀미디어,2020,실패,,,,,,,
00299464,(주)초록뱀미디어,2021,실패,,,,,,,
00299464,(주)초록뱀미디어,2022,실패,,,,,,,
00299464,(주)초록뱀미디어,2023,실패,,,,,,,
00299464,(주)초록뱀미디어,2024,실패,,,,,,,
00299464,(주)초록뱀미디어,2025,실패,,,,,,,
00303873,씨제이씨지브이(주),2015,성공,확정,원본,114546732478.0,114546732000.0,False,0.0,31324703000.0
00303873,씨제이씨지브이(주),2016,성공,확정,원본,892703484350.0,892703484000.0,False,0.0,30729379000.0
00303873,씨제이씨지브이(주),2017,성공,확정,원본,727736094592.0,727736095000.0,False,6052000.0,38430444000.0
00303873,씨제이씨지브이(주),2018,성공,확정,정정,460163901355.0,460163901000.0,False,0.0,20802706000.0
00303873,씨제이씨지브이(주),2019,성공,확정,원본,336280868943.0,336280869000.0,False,0.0,42240305000.0
00303873,씨제이씨지브이(주),2020,성공,확정,원본,241051823494.0,241051823000.0,False,23023000.0,22801312000.0
00303873,씨제이씨지브이(주),2021,성공,확정,원본,178290445823.0,178290446000.0,False,9049000.0,12904674000.0
00303873,씨제이씨지브이(주),2022,성공,확정,원본,167726522496.0,167726522000.0,False,2783000.0,14411165000.0
00303873,씨제이씨지브이(주),2023,성공,확정,원본,203424638546.0,203424639000.0,False,916000.0,12730008000.0
00303873,씨제이씨지브이(주),2024,성공,확정,원본,576099666331.0,576099666000.0,False,98000.0,20345498000.0
00303873,씨제이씨지브이(주),2025,성공,확정,원본,534894515126.0,534894515000.0,False,50815784000.0,24773102000.0
00397191,(주)팬엔터테인먼트,2015,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2016,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2017,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2018,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2019,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2020,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2021,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2022,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2023,성공,확정,원본,1530500095.0,1530500000.0,True,,148806000.0
00397191,(주)팬엔터테인먼트,2024,실패,,,,,,,
00397191,(주)팬엔터테인먼트,2025,실패,,,,,,,
01186404,주식회사 디앤씨미디어,2017,성공,확정,정정,93505450.0,93505000.0,False,0.0,2321000.0
01186404,주식회사 디앤씨미디어,2018,성공,확정,원본,111305693.0,111306000.0,False,0.0,7712000.0
01186404,주식회사 디앤씨미디어,2019,성공,확정,원본,107546930.0,107547000.0,False,0.0,10098000.0
01186404,주식회사 디앤씨미디어,2020,성공,확정,원본,244643866.0,244644000.0,False,0.0,26067000.0
01186404,주식회사 디앤씨미디어,2021,성공,확정,정정,21144291517.0,21144292000.0,False,0.0,
01186404,주식회사 디앤씨미디어,2022,성공,확정,원본,21697695755.0,21697696000.0,False,0.0,1677494000.0
01186404,주식회사 디앤씨미디어,2023,성공,확정,정정,20681047354.0,20681047000.0,False,0.0,1421281000.0
01186404,주식회사 디앤씨미디어,2024,성공,확정,원본,25073798964.0,25073801000.0,False,0.0,1773007000.0
01186404,주식회사 디앤씨미디어,2025,성공,확정,원본,18600617456.0,18600618000.0,False,5477953000.0,1613881000.0
00223762,(주)케이티지니뮤직,2015,성공,확정,원본,9835090321.0,9835091000.0,False,0.0,14450782000.0
00223762,(주)케이티지니뮤직,2016,성공,확정,정정,8479412074.0,8479412000.0,False,0.0,16465569000.0
00223762,(주)케이티지니뮤직,2017,성공,확정,원본,2042580641.0,2042581000.0,False,6051876000.0,18630814000.0
00223762,(주)케이티지니뮤직,2018,성공,확정,원본,62367106929.0,62367107000.0,False,519212000.0,20990695000.0
00223762,(주)케이티지니뮤직,2019,성공,확정,원본,60771067856.0,60771068000.0,False,103067000.0,25150437000.0
00223762,(주)케이티지니뮤직,2020,성공,확정,원본,55587544623.0,55587544000.0,False,0.0,27709300000.0
00223762,(주)케이티지니뮤직,2021,성공,확정,원본,116265644712.0,116265645000.0,False,0.0,29790886000.0
00223762,(주)케이티지니뮤직,2022,성공,확정,원본,122081373659.0,122081374000.0,False,0.0,32325682000.0
00223762,(주)케이티지니뮤직,2023,성공,확정,원본,122206842594.0,122206842000.0,False,0.0,36317860000.0
00223762,(주)케이티지니뮤직,2024,성공,확정,원본,109086312833.0,109086314000.0,False,12320166000.0,40298084000.0
00223762,(주)케이티지니뮤직,2025,실패,,,,,,,
