corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태
00154426,(주)아이에이치큐,2017,CFS,255079897921.0,27355057312.0,227724840609.0,110401192385.0,,427592852.0,126795065081.0,15347228811.0,2637301016.0,61792005429.0,성공,확정,False,4177038000.0,46202917000.0,CFS,False,0.43281024214300107,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2018,CFS,231274871519.0,26694979344.0,204579892175.0,97044562059.0,,400524997.0,109447250511.0,9928069296.0,-9896706726.0,40524687497.0,성공,확정,False,23275780000.0,38294333000.0,CFS,False,0.41960703046386716,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2019,CFS,165807958847.0,28956887269.0,136851071578.0,39773837867.0,,350179997.0,99287415456.0,-7041132245.0,-66279161242.0,40622829480.0,성공,확정,False,60386607000.0,45259545000.0,CFS,False,0.23987894274545335,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2020,CFS,146319857109.0,27655370330.0,118664486779.0,17204733362.0,,63450088.0,81049278892.0,-16226862450.0,-18248434484.0,39922694990.0,성공,확정,False,3127810000.0,41597850000.0,CFS,False,0.11758303829659598,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2021,CFS,238568445822.0,120389630160.0,118178815662.0,12628529706.0,,308349064.0,60007423253.0,-11640188629.0,-10099947227.0,15808633145.0,성공,확정,False,6960762000.0,22938892000.0,CFS,False,0.05293461866881743,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2022,CFS,246320129412.0,158843224641.0,87476904771.0,11471168021.0,,0.0,46794198791.0,-32175585561.0,-112100061572.0,5893956354.0,성공,확정,False,260660000.0,28774773000.0,CFS,False,0.046570160743189176,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2023,CFS,151653101094.0,43043155309.0,108609945785.0,8821560569.0,,0.0,36300281506.0,-17444415717.0,37540962934.0,10683043392.0,실패,,,,,CFS,False,0.05816933847948208,0.11758303829659598,True,주석대사실패
00154426,(주)아이에이치큐,2024,CFS,140860365620.0,41043210081.0,99817155539.0,9209677707.0,,2750292.0,32431991390.0,-7164297756.0,-24115620695.0,-4638533894.0,성공,확정,False,0.0,10986437000.0,CFS,False,0.0653816115446201,0.11758303829659598,True,사용가능
00154426,(주)아이에이치큐,2025,CFS,144522895864.0,46779886283.0,97743009581.0,7653455166.0,,0.0,27725711733.0,-7214692951.0,-12659814270.0,13452074953.0,성공,확정,False,99867000.0,12933083000.0,CFS,False,0.052956696724386916,0.11758303829659598,True,사용가능
00173449,(주)빌리언스,2015,CFS,26183118478.0,2400597192.0,23782521286.0,456134453.0,,5958398535.0,17443491794.0,-1538364115.0,-1574175626.0,1420503048.0,성공,확정,False,0.0,20124024.0,,False,0.01742093682932614,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2016,CFS,24929728205.0,2437542131.0,22492186074.0,433373433.0,,5087950521.0,15334874723.0,-1058903053.0,-1062789840.0,1441728915.0,성공,확정,False,0.0,18635740.0,CFS,False,0.017383800955883707,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2017,CFS,23176321502.0,2207108008.0,20969213494.0,416831843.0,,5814755518.0,14931003116.0,-1542153187.0,-1421184390.0,-1520608371.0,성공,확정,False,0.0,19584321.0,CFS,False,0.017985245974605137,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2018,CFS,51234898524.0,22166535464.0,29068363060.0,392233234.0,,4765560309.0,15350181101.0,-751234908.0,-7181196723.0,552640020.0,성공,확정,False,9554400.0,17106865.0,CFS,False,0.0076555872130061094,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2019,CFS,140121717783.0,48679727378.0,91441990405.0,23158749970.0,,14123330326.0,37484494399.0,-3673856309.0,-3604285217.0,-6757559567.0,성공,확정,False,0.0,171925000.0,CFS,False,0.16527594962734385,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2020,CFS,65465890844.0,19405815294.0,46060075550.0,468746240.0,,5857260094.0,13049479934.0,-834589325.0,-26666898696.0,-4763846643.0,성공,확정,False,3505900000.0,23460000.0,CFS,False,0.007160159801643652,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2021,CFS,177917791160.0,75368430884.0,102549360276.0,6236625892.0,,20043525676.0,25763954047.0,-5557326867.0,-31762640787.0,-2014361974.0,성공,확정,False,17492327000.0,710979000.0,CFS,False,0.0350534134407697,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2022,CFS,172347934561.0,65716693466.0,106631241095.0,3200554212.0,,18409375173.0,78060910357.0,-8883441923.0,-24249817806.0,-1640943080.0,성공,확정,False,2729050000.0,509076000.0,CFS,False,0.018570307907387257,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2023,CFS,199615072155.0,107149906725.0,92465165430.0,14962381727.0,,18579377093.0,96991027126.0,-7494524517.0,-30845827660.0,-3363126852.0,성공,확정,False,14926319000.0,2212232000.0,CFS,False,0.07495617222421859,0.018570307907387257,True,사용가능
00173449,(주)빌리언스,2024,CFS,48846397616.0,26820501763.0,22025895853.0,1584010414.0,,3301717787.0,41724839885.0,-1126925752.0,8608314771.0,677403638.0,실패,,,,,CFS,False,0.03242839782070532,0.018570307907387257,True,주석대사실패
00173449,(주)빌리언스,2025,CFS,48703727865.0,24185298759.0,24518429106.0,1626098952.0,,2927814657.0,25309657425.0,-834277151.0,-7343822577.0,721547131.0,실패,,,,,CFS,False,0.03338756648171412,0.018570307907387257,True,주석대사실패
